date,returnPct,benchmarkReturnPct
2026-01-01,0,0
2026-01-08,12,1.2
2026-01-15,26,2.4
2026-01-22,43,3.1
2026-01-29,31,2.8
2026-02-05,58,4.6
2026-02-12,27,3.9
2026-02-19,30,4.1
2026-02-26,24,3.7
2026-03-05,31,5.2
2026-03-12,22,4.8
2026-03-19,14,4.1
2026-03-26,7,3.4
2026-04-02,31,5.6
2026-04-09,23,5.1
2026-04-16,11,4.3
2026-04-23,4,3.8
2026-04-30,23,5.4
2026-05-07,34,6.6
2026-05-14,43,7.2
2026-05-21,53,8.4
2026-05-28,51,8.1
2026-06-04,62,9.7
2026-06-07,70,10.4
2026-06-10,77,11.1
2026-06-12,84,11.8
2026-06-14,142.2,12.5
